,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
43,,,123354,0,0,-1,1,0,2,0.3,-0.2,0,Kortney,0.3,36,False,,,44,123354.jpg,1.0,Hause,0.1,False,,a,2,7,1,1534,183,4602,566,0.1,0.2,Hause,1,0,0,0,0,0,0,0,0,0,0,0,5,3.2,0.1,0.0,0.3,333,123,353,128,359,139,355,124,,,,,,
44,0.0,0.0,148508,0,0,0,0,0,3,0.0,0.0,0,Mahmoud Ahmed,0.0,37,False,Knee injury - Unknown return date,2021-06-22T11:30:10.533711Z,55,148508.jpg,0.0,Ibrahim Hassan,0.0,False,,i,2,7,0,288,48,634,92,0.0,0.0,Trézéguet,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,577,230,574,231,569,229,578,230,,,,,,
45,100.0,100.0,149484,0,0,0,0,1,2,5.0,4.5,0,Tyrone,5.0,38,False,,2021-08-28T18:30:11.474318Z,50,149484.jpg,5.0,Mings,7.6,False,,a,2,7,15,280398,16800,353973,55001,1.0,3.0,Mings,270,0,2,1,6,0,0,0,2,0,0,3,61,50.8,12.1,67.0,12.9,152,64,225,72,68,9,124,40,,,,,,
46,,,169359,0,0,-2,2,0,2,0.7,0.2,0,Matt,0.7,39,False,,,48,169359.jpg,0.7,Targett,3.4,False,,a,2,7,2,17967,2192,440550,37889,0.1,0.4,Targett,225,0,0,0,6,0,0,0,1,0,0,0,16,22.0,29.1,0.0,5.1,245,100,141,33,483,183,254,90,5.0,,6.0,,,
47,100.0,100.0,178301,0,0,-2,2,0,4,1.0,0.5,2,Ollie,1.0,40,False,,2021-08-08T22:30:08.091938Z,73,178301.jpg,1.5,Watkins,1.6,False,,a,2,7,3,31068,19811,227706,11886,0.1,0.4,Watkins,101,0,0,0,3,0,0,0,0,0,0,0,9,22.8,25.3,154.0,20.2,243,29,162,23,17,7,66,16,,,,,3.0,
48,,,184704,0,0,0,0,0,3,0.7,0.2,1,Marvelous,0.7,41,False,,,45,184704.jpg,1.3,Nakamba,0.2,False,,a,2,7,4,14074,2528,11293,1853,0.2,0.9,Nakamba,127,0,0,0,4,0,0,0,0,0,0,0,20,9.0,7.3,0.0,1.7,295,126,250,133,420,164,321,146,,,,,,
49,,,193488,0,0,0,0,0,3,3.3,2.8,0,Anwar,3.3,42,False,,,60,193488.jpg,3.7,El Ghazi,1.0,False,,a,2,7,11,67152,4310,88430,15257,0.6,1.8,El Ghazi,239,1,0,1,3,0,0,0,1,0,0,1,26,41.2,46.8,33.0,12.1,190,75,98,61,127,66,134,67,3.0,,3.0,,1.0,
50,75.0,0.0,195546,0,0,-1,1,1,3,3.0,0.0,0,Emiliano,4.0,43,False,Lack of match fitness - 75% chance of playing,2021-08-30T07:30:12.080454Z,64,195546.jpg,4.7,Buendía Stati,1.8,False,,d,2,7,14,45831,2408,316592,23223,0.6,2.2,Buendía,246,1,0,1,4,0,0,0,1,0,0,3,41,68.0,81.8,21.0,17.2,103,40,40,28,169,95,91,51,1.0,,,,,
51,,,199796,0,0,0,0,0,2,2.7,2.2,1,Matthew,2.7,44,False,,,50,199796.jpg,2.2,Cash,1.4,False,,a,2,7,9,38016,2893,74397,11612,0.5,1.8,Cash,360,0,0,1,7,0,0,0,1,0,0,0,63,57.4,27.3,19.0,10.4,133,52,151,38,174,39,160,48,,,,,,
52,100.0,75.0,199798,-1,1,-1,1,0,2,3.0,1.9,1,Ezri,3.0,45,False,,2021-08-28T18:30:11.489466Z,49,199798.jpg,2.5,Konsa Ngoyo,0.7,False,,a,2,7,10,9860,1459,41633,4548,0.6,2.0,Konsa,358,0,0,1,7,0,0,0,0,0,0,0,50,65.2,12.3,56.0,13.3,116,40,223,71,75,14,120,37,,,,,,
