web-scraper-order,web-scraper-start-url,player,team,postion,value,popularity
1624189734-2401,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Declan Rice,Slovakiet,Midtbane,2.039.000,"0,1%"
1624189734-2422,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,César Azpilicueta,Kroatien,Forsvar,1.998.000,"0,6%"
1624189734-1868,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jordi Alba,England,Angreb,7.717.000,"0,8%"
1624189734-2372,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Fabián Ruiz,Danmark,Midtbane,2.479.000,"0,8%"
1624189734-1862,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Thomas Delaney,Belgien,Angreb,8.902.000,"31,7%"
1624189734-2045,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jonas Wind,Wales,Mål,3.681.000,"0,2%"
1624189734-2219,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,José Gayà,Slovakiet,Angreb,2.990.000,"0,0%"
1624189734-2002,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Kasper Dolberg,Sverige,Midtbane,4.054.000,"0,1%"
1624189734-1913,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,John Stones,Belgien,Midtbane,5.106.000,"8,7%"
1624189734-1890,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Ben Chilwell,Tyskland,Angreb,5.987.000,"1,7%"
1624189734-2122,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Kalvin Phillips,Tyrkiet,Mål,3.490.000,"0,0%"
1624189734-2134,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Mathias Jensen,Tyrkiet,Midtbane,3.468.000,"0,5%"
1624189734-2229,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Andreas  Cornelius ,Frankrig,Forsvar,2.990.000,"0,3%"
1624189734-1946,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Alessandro Florenzi,Belgien,Forsvar,4.537.000,"0,5%"
1624189734-1879,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Tyrone Mings,Portugal,Angreb,6.682.000,"2,3%"
1624189734-2385,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,David de Gea,Ungarn,Midtbane,2.462.000,"0,1%"
